Id,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,Heating,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageCars,SaleCondition,SalePrice
1,8450,CollgCr,7,5,2003,GasA,2,3,1,8,2,Normal,208500
2,9600,Veenker,6,8,1976,GasA,2,3,1,6,2,Normal,181500
3,11250,CollgCr,7,5,2001,GasA,2,3,1,6,2,Normal,223500
4,9550,Crawfor,7,5,1915,GasA,1,3,1,7,3,Abnorml,140000
5,14260,NoRidge,8,5,2000,GasA,2,4,1,9,3,Normal,250000
6,14115,Mitchel,5,5,1993,GasA,1,1,1,5,2,Normal,143000
7,10084,Somerst,8,5,2004,GasA,2,3,1,7,2,Normal,307000
8,10382,NWAmes,7,6,1973,GasA,2,3,1,7,2,Normal,200000
9,6120,OldTown,7,5,1931,GasA,2,2,2,8,2,Abnorml,129900
10,7420,BrkSide,5,6,1939,GasA,1,2,2,5,1,Normal,118000
11,11200,Sawyer,5,5,1965,GasA,1,3,1,5,1,Normal,129500
12,11924,NridgHt,9,5,2005,GasA,3,4,1,11,3,Partial,345000
13,12968,Sawyer,5,6,1962,GasA,1,2,1,4,1,Normal,144000
14,10652,CollgCr,7,5,2006,GasA,2,3,1,7,3,Partial,279500
15,10920,NAmes,6,5,1960,GasA,1,2,1,5,1,Normal,157000
16,6120,BrkSide,7,8,1929,GasA,1,2,1,5,2,Normal,132000
17,11241,NAmes,6,7,1970,GasA,1,2,1,5,2,Normal,149000
18,10791,Sawyer,4,5,1967,GasA,2,2,2,6,2,Normal,90000
19,13695,SawyerW,5,5,2004,GasA,1,3,1,6,2,Normal,159000
20,7560,NAmes,5,6,1958,GasA,1,3,1,6,1,Abnorml,139000
21,14215,NridgHt,8,5,2005,GasA,3,4,1,9,3,Partial,325300
22,7449,IDOTRR,7,7,1930,GasA,1,3,1,6,1,Normal,139400
23,9742,CollgCr,8,5,2002,GasA,2,3,1,7,2,Normal,230000
24,4224,MeadowV,5,7,1976,GasA,1,3,1,6,2,Normal,129900
25,8246,Sawyer,5,8,1968,GasA,1,3,1,6,1,Normal,154000
26,14230,NridgHt,8,5,2007,GasA,2,3,1,7,3,Normal,256300
27,7200,NAmes,5,7,1951,GasA,1,3,1,5,2,Normal,134800
28,11478,NridgHt,8,5,2007,GasA,2,3,1,7,3,Normal,306000
29,16321,NAmes,5,6,1957,GasA,1,2,1,6,1,Normal,207500
30,6324,BrkSide,4,6,1927,GasA,1,1,1,4,1,Normal,68500
31,8500,IDOTRR,4,4,1920,GasA,1,3,1,6,1,Normal,40000
32,8544,Sawyer,5,6,1966,GasA,1,3,1,6,1,Normal,149350
33,11049,CollgCr,8,5,2007,GasA,2,3,1,7,2,Normal,179900
34,10552,NAmes,5,5,1959,GasA,1,4,1,6,2,Normal,165500
35,7313,NridgHt,9,5,2005,GasA,2,2,1,6,2,Normal,277500
36,13418,NridgHt,8,5,2004,GasA,3,4,1,9,3,Normal,309000
37,10859,CollgCr,5,5,1994,GasA,1,3,1,6,2,Normal,145000
38,8532,NAmes,5,6,1954,GasA,1,3,1,5,2,Normal,153000
39,7922,NAmes,5,7,1953,GasA,1,3,1,5,1,Abnorml,109000
40,6040,Edwards,4,5,1955,GasA,2,2,2,6,0,AdjLand,82000
41,8658,NAmes,6,5,1965,GasA,2,3,1,6,2,Abnorml,160000
42,16905,Timber,5,6,1959,GasA,1,2,1,5,1,Normal,170000
43,9180,SawyerW,5,7,1983,GasA,1,2,1,5,2,Normal,144000
44,9200,CollgCr,5,6,1975,GasA,1,3,1,5,1,Normal,130250
45,7945,NAmes,5,6,1959,GasA,1,3,1,6,1,Normal,141000
46,7658,NridgHt,9,5,2005,GasA,2,2,1,6,2,Normal,319900
47,12822,Mitchel,7,5,2003,GasA,1,1,1,6,2,Abnorml,239686
48,11096,Somerst,8,5,2006,GasA,2,3,1,7,3,Normal,249700
49,4456,OldTown,4,5,1920,GasA,2,2,3,8,0,Partial,113000
50,7742,Sawyer,5,7,1966,GasA,1,3,1,6,1,Normal,127000
51,13869,Gilbert,6,6,1997,GasA,2,3,1,6,2,Normal,177000
52,6240,BrkSide,6,6,1934,GasA,1,3,1,6,2,Normal,114500
53,8472,IDOTRR,5,5,1963,GasA,1,2,1,5,2,Normal,110000
54,50271,Veenker,9,5,1981,GasA,0,0,1,5,3,Normal,385000
55,7134,NAmes,5,5,1955,GasA,1,3,1,6,2,Normal,130000
56,10175,NAmes,6,5,1964,GasA,2,3,1,7,2,Normal,180500
57,2645,Somerst,8,5,1999,GasA,2,3,1,7,2,Abnorml,172500
58,11645,CollgCr,7,5,2004,GasA,2,3,1,7,2,Normal,196500
59,13682,StoneBr,10,5,2006,GasA,3,3,1,10,3,Partial,438780
60,7200,CollgCr,5,7,1972,GasA,1,2,1,4,1,Normal,124900
61,13072,SawyerW,6,5,2004,GasA,1,3,1,5,2,Partial,158000
62,7200,IDOTRR,5,7,1920,GasA,1,3,1,6,1,Normal,101000
63,6442,NridgHt,8,5,2006,GasA,2,2,1,6,2,Normal,202500
